artifact_set,artifact_type,artifact_main,n_need
Heart of Depths-Nymph's Dream,Feather,ATK,1
Heart of Depths-Nymph's Dream,Flower,HP,1
Heart of Depths-Nymph's Dream,Goblet,ATK,1
Heart of Depths-Nymph's Dream,Sands,ER,1
Husk of Oppulent Dreams,Circlet,CritDMG,1
Husk of Oppulent Dreams,Feather,DEF,1
Husk of Oppulent Dreams,Goblet,GeoDMG,1
Husk of Oppulent Dreams,Sands,ATK,1
Husk of Opulent Dreams,Circlet,CritRate,1
Husk of Opulent Dreams,Circlet,DEF,1
Husk of Opulent Dreams,Sands,DEF,1
Husk of Opulent Dreams,Sands,ER,1
Husk of Opulent Dreams,circlet,ATK,1
Husk of Opulent Dreams,circlet,DEF,1
Husk of Opulent Dreams,circlet,EM,1
Husk of Opulent Dreams,circlet,HP,1
Husk of Opulent Dreams,circlet,HealingBonus,1
Husk of Opulent Dreams,circlet,critDMG,1
Husk of Opulent Dreams,circlet,critRate,1
Husk of Opulent Dreams,flower,hp,1
Husk of Opulent Dreams,goblet,ATK,1
Husk of Opulent Dreams,goblet,AnemoDMG,1
Husk of Opulent Dreams,goblet,CryoDMG,1
Husk of Opulent Dreams,goblet,DEF,1
Husk of Opulent Dreams,goblet,DendroDMG,1
Husk of Opulent Dreams,goblet,EM,1
Husk of Opulent Dreams,goblet,ElectroDMG,1
Husk of Opulent Dreams,goblet,GeoDMG,1
Husk of Opulent Dreams,goblet,HP,1
Husk of Opulent Dreams,goblet,HydroDMG,1
Husk of Opulent Dreams,goblet,PyroDMG,1
Husk of Opulent Dreams,plume,ATK,1
Husk of Opulent Dreams,sands,ATK,1
Husk of Opulent Dreams,sands,DEF,1
Husk of Opulent Dreams,sands,EM,1
Husk of Opulent Dreams,sands,ER,1
Husk of Opulent Dreams,sands,HP,1
Lavawalker,circlet,ATK,1
Lavawalker,circlet,DEF,1
Lavawalker,circlet,EM,1
Lavawalker,circlet,HP,1
Lavawalker,circlet,HealingBonus,1
Lavawalker,circlet,critDMG,1
Lavawalker,circlet,critRate,1
Lavawalker,flower,hp,1
Lavawalker,goblet,ATK,1
Lavawalker,goblet,AnemoDMG,1
Lavawalker,goblet,CryoDMG,1
Lavawalker,goblet,DEF,1
Lavawalker,goblet,DendroDMG,1
Lavawalker,goblet,EM,1
Lavawalker,goblet,ElectroDMG,1
Lavawalker,goblet,GeoDMG,1
Lavawalker,goblet,HP,1
Lavawalker,goblet,HydroDMG,1
Lavawalker,goblet,PyroDMG,1
Lavawalker,plume,ATK,1
Lavawalker,sands,ATK,1
Lavawalker,sands,DEF,1
Lavawalker,sands,EM,1
Lavawalker,sands,ER,1
Lavawalker,sands,HP,1
Long Night's Oath,Goblet,AnemoDMG,1
Long Night's Oath,Goblet,ElectroDMG,1
Long Night's Oath,Goblet,PhysicalDMG,1
Long Night's Oath,Sands,ATK,1
Long Night's Oath,Sands,ER,1
Long Night's Oath,circlet,ATK,1
Long Night's Oath,circlet,DEF,1
Long Night's Oath,circlet,EM,1
Long Night's Oath,circlet,HP,1
Long Night's Oath,circlet,HealingBonus,1
Long Night's Oath,circlet,critDMG,1
Long Night's Oath,circlet,critRate,1
Long Night's Oath,flower,hp,1
Long Night's Oath,goblet,ATK,1
Long Night's Oath,goblet,AnemoDMG,1
Long Night's Oath,goblet,CryoDMG,1
Long Night's Oath,goblet,DEF,1
Long Night's Oath,goblet,DendroDMG,1
Long Night's Oath,goblet,EM,1
Long Night's Oath,goblet,ElectroDMG,1
Long Night's Oath,goblet,GeoDMG,1
Long Night's Oath,goblet,HP,1
Long Night's Oath,goblet,HydroDMG,1
Long Night's Oath,goblet,PyroDMG,1
Long Night's Oath,plume,ATK,1
Long Night's Oath,sands,ATK,1
Long Night's Oath,sands,DEF,1
Long Night's Oath,sands,EM,1
Long Night's Oath,sands,ER,1
Long Night's Oath,sands,HP,1
Maiden Beloved,Feather,ATK,1
Maiden Beloved,Goblet,ATK,1
Maiden Beloved,Goblet,HP,1
Maiden Beloved,Sands,ER,1
Maiden Beloved,circlet,ATK,1
Maiden Beloved,circlet,DEF,1
Maiden Beloved,circlet,EM,1
Maiden Beloved,circlet,HP,1
Maiden Beloved,circlet,HealingBonus,1
Maiden Beloved,circlet,critDMG,1
Maiden Beloved,circlet,critRate,1
Maiden Beloved,flower,hp,1
Maiden Beloved,goblet,ATK,1
Maiden Beloved,goblet,AnemoDMG,1
Maiden Beloved,goblet,CryoDMG,1
Maiden Beloved,goblet,DEF,1
Maiden Beloved,goblet,DendroDMG,1
Maiden Beloved,goblet,EM,1
Maiden Beloved,goblet,ElectroDMG,1
Maiden Beloved,goblet,GeoDMG,1
Maiden Beloved,goblet,HP,1
Maiden Beloved,goblet,HydroDMG,1
Maiden Beloved,goblet,PyroDMG,1
Maiden Beloved,plume,ATK,1
Maiden Beloved,sands,ATK,1
Maiden Beloved,sands,DEF,1
Maiden Beloved,sands,EM,1
Maiden Beloved,sands,ER,1
Maiden Beloved,sands,HP,1
Marechaussee Hunter,Feather,ATK,1
Marechaussee Hunter,Flower,HP,1
Marechaussee Hunter,Goblet,EM,1
Marechaussee Hunter,Goblet,HydroDMG,1
Marechaussee Hunter,Sands,EM,1
Marechaussee Hunter,Sands,ER,1
Marechaussee Hunter,Sands,HP,1
Marechaussee Hunter,circlet,ATK,1
Marechaussee Hunter,circlet,DEF,1
Marechaussee Hunter,circlet,EM,1
Marechaussee Hunter,circlet,HP,1
Marechaussee Hunter,circlet,HealingBonus,1
Marechaussee Hunter,circlet,critDMG,1
Marechaussee Hunter,circlet,critRate,1
Marechaussee Hunter,flower,hp,1
Marechaussee Hunter,goblet,ATK,1
Marechaussee Hunter,goblet,AnemoDMG,1
Marechaussee Hunter,goblet,CryoDMG,1
Marechaussee Hunter,goblet,DEF,1
Marechaussee Hunter,goblet,DendroDMG,1
Marechaussee Hunter,goblet,EM,1
Marechaussee Hunter,goblet,ElectroDMG,1
Marechaussee Hunter,goblet,GeoDMG,1
Marechaussee Hunter,goblet,HP,1
Marechaussee Hunter,goblet,HydroDMG,1
Marechaussee Hunter,goblet,PyroDMG,1
Marechaussee Hunter,plume,ATK,1
Marechaussee Hunter,sands,ATK,1
Marechaussee Hunter,sands,DEF,1
Marechaussee Hunter,sands,EM,1
Marechaussee Hunter,sands,ER,1
Marechaussee Hunter,sands,HP,1
Night Of the Sky's Unveiling,Circlet,EM,1
Night Of the Sky's Unveiling,Feather,ATK,1
Night Of the Sky's Unveiling,Flower,HP,1
Night Of the Sky's Unveiling,Goblet,EM,1
Night Of the Sky's Unveiling,Sands,EM,1
Night of the Sky's Unveiling,Goblet,DEF,1
Night of the Sky's Unveiling,Goblet,EM,1
Night of the Sky's Unveiling,Sands,DEF,1
Night of the Sky's Unveiling,Sands,EM,1
Night of the Sky's Unveiling,circlet,ATK,1
Night of the Sky's Unveiling,circlet,DEF,1
Night of the Sky's Unveiling,circlet,EM,1
Night of the Sky's Unveiling,circlet,HP,1
Night of the Sky's Unveiling,circlet,HealingBonus,1
Night of the Sky's Unveiling,circlet,critDMG,1
Night of the Sky's Unveiling,circlet,critRate,1
Night of the Sky's Unveiling,flower,hp,1
Night of the Sky's Unveiling,goblet,ATK,1
Night of the Sky's Unveiling,goblet,AnemoDMG,1
Night of the Sky's Unveiling,goblet,CryoDMG,1
Night of the Sky's Unveiling,goblet,DEF,1
Night of the Sky's Unveiling,goblet,DendroDMG,1
Night of the Sky's Unveiling,goblet,EM,1
Night of the Sky's Unveiling,goblet,ElectroDMG,1
Night of the Sky's Unveiling,goblet,GeoDMG,1
Night of the Sky's Unveiling,goblet,HP,1
Night of the Sky's Unveiling,goblet,HydroDMG,1
Night of the Sky's Unveiling,goblet,PyroDMG,1
Night of the Sky's Unveiling,plume,ATK,1
Night of the Sky's Unveiling,sands,ATK,1
Night of the Sky's Unveiling,sands,DEF,1
Night of the Sky's Unveiling,sands,EM,1
Night of the Sky's Unveiling,sands,ER,1
Night of the Sky's Unveiling,sands,HP,1
Nightime Whispers in the Echoing Woods,Circlet,CritRate,1
Nightime Whispers in the Echoing Woods,Feather,ATK,1
Nightime Whispers in the Echoing Woods,Flower,HP,1
Nightime Whispers in the Echoing Woods,Goblet,GeoDMG,1
Nightime Whispers in the Echoing Woods,Sands,ATK,1
Nighttime Whispers in the Echoing Woods,circlet,ATK,1
Nighttime Whispers in the Echoing Woods,circlet,DEF,1
Nighttime Whispers in the Echoing Woods,circlet,EM,1
Nighttime Whispers in the Echoing Woods,circlet,HP,1
Nighttime Whispers in the Echoing Woods,circlet,HealingBonus,1
Nighttime Whispers in the Echoing Woods,circlet,critDMG,1
Nighttime Whispers in the Echoing Woods,circlet,critRate,1
Nighttime Whispers in the Echoing Woods,flower,hp,1
Nighttime Whispers in the Echoing Woods,goblet,ATK,1
Nighttime Whispers in the Echoing Woods,goblet,AnemoDMG,1
Nighttime Whispers in the Echoing Woods,goblet,CryoDMG,1
Nighttime Whispers in the Echoing Woods,goblet,DEF,1
Nighttime Whispers in the Echoing Woods,goblet,DendroDMG,1
Nighttime Whispers in the Echoing Woods,goblet,EM,1
Nighttime Whispers in the Echoing Woods,goblet,ElectroDMG,1
Nighttime Whispers in the Echoing Woods,goblet,GeoDMG,1
Nighttime Whispers in the Echoing Woods,goblet,HP,1
Nighttime Whispers in the Echoing Woods,goblet,HydroDMG,1
Nighttime Whispers in the Echoing Woods,goblet,PyroDMG,1
Nighttime Whispers in the Echoing Woods,plume,ATK,1
Nighttime Whispers in the Echoing Woods,sands,ATK,1
Nighttime Whispers in the Echoing Woods,sands,DEF,1
Nighttime Whispers in the Echoing Woods,sands,EM,1
Nighttime Whispers in the Echoing Woods,sands,ER,1
Nighttime Whispers in the Echoing Woods,sands,HP,1
Noblesse Obliege,Circlet,DEF,1
Noblesse Obliege,Circlet,HealingBonus,1
Noblesse Obliege,Goblet,ATK,1
Noblesse Obliege,Goblet,DEF,1
Noblesse Obliege,Sands,DEF,1
Noblesse Obliege,Sands,ER,1
Noblesse Oblige,Circlet,CritRate,1
Noblesse Oblige,Circlet,HealingBonus,1
Noblesse Oblige,Goblet,ATK,1
Noblesse Oblige,Goblet,CryoDMG,1
Noblesse Oblige,circlet,ATK,1
Noblesse Oblige,circlet,DEF,1
Noblesse Oblige,circlet,EM,1
Noblesse Oblige,circlet,HP,1
Noblesse Oblige,circlet,HealingBonus,1
Noblesse Oblige,circlet,critDMG,1
Noblesse Oblige,circlet,critRate,1
Noblesse Oblige,flower,hp,1
Noblesse Oblige,goblet,ATK,1
Noblesse Oblige,goblet,AnemoDMG,1
Noblesse Oblige,goblet,CryoDMG,1
Noblesse Oblige,goblet,DEF,1
Noblesse Oblige,goblet,DendroDMG,1
Noblesse Oblige,goblet,EM,1
Noblesse Oblige,goblet,ElectroDMG,1
Noblesse Oblige,goblet,GeoDMG,1
Noblesse Oblige,goblet,HP,1
Noblesse Oblige,goblet,HydroDMG,1
Noblesse Oblige,goblet,PyroDMG,1
Noblesse Oblige,plume,ATK,1
Noblesse Oblige,sands,ATK,1
Noblesse Oblige,sands,DEF,1
Noblesse Oblige,sands,EM,1
Noblesse Oblige,sands,ER,1
Noblesse Oblige,sands,HP,1
Nymph's Dream,Circlet,HP,1
Nymph's Dream,Feather,ATK,1
Nymph's Dream,Flower,HP,1
Nymph's Dream,Goblet,HP,1
Nymph's Dream,Sands,HP,1
Nymph's Dream,circlet,ATK,1
Nymph's Dream,circlet,DEF,1
Nymph's Dream,circlet,EM,1
Nymph's Dream,circlet,HP,1
Nymph's Dream,circlet,HealingBonus,1
Nymph's Dream,circlet,critDMG,1
Nymph's Dream,circlet,critRate,1
Nymph's Dream,flower,hp,1
Nymph's Dream,goblet,ATK,1
Nymph's Dream,goblet,AnemoDMG,1
Nymph's Dream,goblet,CryoDMG,1
Nymph's Dream,goblet,DEF,1
Nymph's Dream,goblet,DendroDMG,1
Nymph's Dream,goblet,EM,1
Nymph's Dream,goblet,ElectroDMG,1
Nymph's Dream,goblet,GeoDMG,1
Nymph's Dream,goblet,HP,1
Nymph's Dream,goblet,HydroDMG,1
Nymph's Dream,goblet,PyroDMG,1
Nymph's Dream,plume,ATK,1
Nymph's Dream,sands,ATK,1
Nymph's Dream,sands,DEF,1
Nymph's Dream,sands,EM,1
Nymph's Dream,sands,ER,1
Nymph's Dream,sands,HP,1
Obsidian Codex,Flower,HP,1
Obsidian Codex,Goblet,HydroDMG,1
Obsidian Codex,circlet,ATK,1
Obsidian Codex,circlet,DEF,1
Obsidian Codex,circlet,EM,1
Obsidian Codex,circlet,HP,1
Obsidian Codex,circlet,HealingBonus,1
Obsidian Codex,circlet,critDMG,1
Obsidian Codex,circlet,critRate,1
Obsidian Codex,flower,hp,1
Obsidian Codex,goblet,ATK,1
Obsidian Codex,goblet,AnemoDMG,1
Obsidian Codex,goblet,CryoDMG,1
Obsidian Codex,goblet,DEF,1
Obsidian Codex,goblet,DendroDMG,1
Obsidian Codex,goblet,EM,1
Obsidian Codex,goblet,ElectroDMG,1
Obsidian Codex,goblet,GeoDMG,1
Obsidian Codex,goblet,HP,1
Obsidian Codex,goblet,HydroDMG,1
Obsidian Codex,goblet,PyroDMG,1
Obsidian Codex,plume,ATK,1
Obsidian Codex,sands,ATK,1
Obsidian Codex,sands,DEF,1
Obsidian Codex,sands,EM,1
Obsidian Codex,sands,ER,1
Obsidian Codex,sands,HP,1
Ocean-Hued Clam,Circlet,EM,1
Ocean-Hued Clam,Goblet,EM,1
Ocean-Hued Clam,Sands,EM,1
Ocean-Hued Clam,circlet,ATK,1
Ocean-Hued Clam,circlet,DEF,1
Ocean-Hued Clam,circlet,EM,1
Ocean-Hued Clam,circlet,HP,1
Ocean-Hued Clam,circlet,HealingBonus,1
Ocean-Hued Clam,circlet,critDMG,1
Ocean-Hued Clam,circlet,critRate,1
Ocean-Hued Clam,flower,hp,1
Ocean-Hued Clam,goblet,ATK,1
Ocean-Hued Clam,goblet,AnemoDMG,1
Ocean-Hued Clam,goblet,CryoDMG,1
Ocean-Hued Clam,goblet,DEF,1
Ocean-Hued Clam,goblet,DendroDMG,1
Ocean-Hued Clam,goblet,EM,1
Ocean-Hued Clam,goblet,ElectroDMG,1
Ocean-Hued Clam,goblet,GeoDMG,1
Ocean-Hued Clam,goblet,HP,1
Ocean-Hued Clam,goblet,HydroDMG,1
Ocean-Hued Clam,goblet,PyroDMG,1
Ocean-Hued Clam,plume,ATK,1
Ocean-Hued Clam,sands,ATK,1
Ocean-Hued Clam,sands,DEF,1
Ocean-Hued Clam,sands,EM,1
Ocean-Hued Clam,sands,ER,1
Ocean-Hued Clam,sands,HP,1
Pale Flame,Circlet,CritDMG,1
Pale Flame,Feather,PhysicalDMG,1
Pale Flame,Goblet,ATK,1
Pale Flame,Goblet,CritDMG,1
Pale Flame,Sands,AKT,1
Pale Flame,Sands,ATK,1
Pale Flame,Sands,ER,1
Pale Flame,circlet,ATK,1
Pale Flame,circlet,DEF,1
Pale Flame,circlet,EM,1
Pale Flame,circlet,HP,1
Pale Flame,circlet,HealingBonus,1
Pale Flame,circlet,critDMG,1
Pale Flame,circlet,critRate,1
Pale Flame,flower,hp,1
Pale Flame,goblet,ATK,1
Pale Flame,goblet,AnemoDMG,1
Pale Flame,goblet,CryoDMG,1
Pale Flame,goblet,DEF,1
Pale Flame,goblet,DendroDMG,1
Pale Flame,goblet,EM,1
Pale Flame,goblet,ElectroDMG,1
Pale Flame,goblet,GeoDMG,1
Pale Flame,goblet,HP,1
Pale Flame,goblet,HydroDMG,1
Pale Flame,goblet,PyroDMG,1
Pale Flame,plume,ATK,1
Pale Flame,sands,ATK,1
Pale Flame,sands,DEF,1
Pale Flame,sands,EM,1
Pale Flame,sands,ER,1
Pale Flame,sands,HP,1
Retracing Bolide,Circlet,DEF,1
Retracing Bolide,Circlet,HealingBonus ,1
Retracing Bolide,Feather,ATK,1
Retracing Bolide,Feather,HP,1
Retracing Bolide,Flower,DEF,1
Retracing Bolide,Flower,HP,1
Retracing Bolide,Goblet,ATK,1
Retracing Bolide,Goblet,DEF,1
Retracing Bolide,Sands,ER-ATK-Crit_DMG,1
Retracing Bolide,circlet,ATK,1
Retracing Bolide,circlet,DEF,1
Retracing Bolide,circlet,EM,1
Retracing Bolide,circlet,HP,1
Retracing Bolide,circlet,HealingBonus,1
Retracing Bolide,circlet,critDMG,1
Retracing Bolide,circlet,critRate,1
Retracing Bolide,flower,hp,1
Retracing Bolide,goblet,ATK,1
Retracing Bolide,goblet,AnemoDMG,1
Retracing Bolide,goblet,CryoDMG,1
Retracing Bolide,goblet,DEF,1
Retracing Bolide,goblet,DendroDMG,1
Retracing Bolide,goblet,EM,1
Retracing Bolide,goblet,ElectroDMG,1
Retracing Bolide,goblet,GeoDMG,1
Retracing Bolide,goblet,HP,1
Retracing Bolide,goblet,HydroDMG,1
Retracing Bolide,goblet,PyroDMG,1
Retracing Bolide,plume,ATK,1
Retracing Bolide,sands,ATK,1
Retracing Bolide,sands,DEF,1
Retracing Bolide,sands,EM,1
Retracing Bolide,sands,ER,1
Retracing Bolide,sands,HP,1
Scroll of the Hero of Cider City,Circlet,HealingBonus,1
Scroll of the Hero of Cider City,Feather,ATK,1
Scroll of the Hero of Cider City,Flower,HP,1
Scroll of the Hero of Cider City,Goblet,DEF,1
Scroll of the Hero of Cider City,Sands,DEF,1
Scroll of the Hero of Cinder City,Circlet,ATK,1
Scroll of the Hero of Cinder City,Circlet,EM,1
Scroll of the Hero of Cinder City,Circlet,HealingBonus,1
Scroll of the Hero of Cinder City,Goblet,ATK,1
Scroll of the Hero of Cinder City,Goblet,EM,1
Scroll of the Hero of Cinder City,Goblet,ElectroDMG,1
Scroll of the Hero of Cinder City,Goblet,GeoDMG,1
Scroll of the Hero of Cinder City,Goblet,PyroDMG,1
Scroll of the Hero of Cinder City,Sands,DEF,1
Scroll of the Hero of Cinder City,Sands,EM,1
Scroll of the Hero of Cinder City,circlet,ATK,1
Scroll of the Hero of Cinder City,circlet,DEF,1
Scroll of the Hero of Cinder City,circlet,EM,1
Scroll of the Hero of Cinder City,circlet,HP,1
Scroll of the Hero of Cinder City,circlet,HealingBonus,1
Scroll of the Hero of Cinder City,circlet,critDMG,1
Scroll of the Hero of Cinder City,circlet,critRate,1
Scroll of the Hero of Cinder City,flower,hp,1
Scroll of the Hero of Cinder City,goblet,ATK,1
Scroll of the Hero of Cinder City,goblet,AnemoDMG,1
Scroll of the Hero of Cinder City,goblet,CryoDMG,1
Scroll of the Hero of Cinder City,goblet,DEF,1
Scroll of the Hero of Cinder City,goblet,DendroDMG,1
Scroll of the Hero of Cinder City,goblet,EM,1
Scroll of the Hero of Cinder City,goblet,ElectroDMG,1
Scroll of the Hero of Cinder City,goblet,GeoDMG,1
Scroll of the Hero of Cinder City,goblet,HP,1
Scroll of the Hero of Cinder City,goblet,HydroDMG,1
Scroll of the Hero of Cinder City,goblet,PyroDMG,1
Scroll of the Hero of Cinder City,plume,ATK,1
Scroll of the Hero of Cinder City,sands,ATK,1
Scroll of the Hero of Cinder City,sands,DEF,1
Scroll of the Hero of Cinder City,sands,EM,1
Scroll of the Hero of Cinder City,sands,ER,1
Scroll of the Hero of Cinder City,sands,HP,1
Shimenawa's Reminiscence,Circlet,CritDMG,1
Shimenawa's Reminiscence,Circlet,EM,1
Shimenawa's Reminiscence,Goblet,AnemoDMG,1
Shimenawa's Reminiscence,Goblet,EM,1
Shimenawa's Reminiscence,Sands,ATK,1
Shimenawa's Reminiscence,Sands,EM,1
Shimenawa's Reminiscence,circlet,ATK,1
Shimenawa's Reminiscence,circlet,DEF,1
Shimenawa's Reminiscence,circlet,EM,1
Shimenawa's Reminiscence,circlet,HP,1
Shimenawa's Reminiscence,circlet,HealingBonus,1
Shimenawa's Reminiscence,circlet,critDMG,1
Shimenawa's Reminiscence,circlet,critRate,1
Shimenawa's Reminiscence,flower,hp,1
Shimenawa's Reminiscence,goblet,ATK,1
Shimenawa's Reminiscence,goblet,AnemoDMG,1
Shimenawa's Reminiscence,goblet,CryoDMG,1
Shimenawa's Reminiscence,goblet,DEF,1
Shimenawa's Reminiscence,goblet,DendroDMG,1
Shimenawa's Reminiscence,goblet,EM,1
Shimenawa's Reminiscence,goblet,ElectroDMG,1
Shimenawa's Reminiscence,goblet,GeoDMG,1
Shimenawa's Reminiscence,goblet,HP,1
Shimenawa's Reminiscence,goblet,HydroDMG,1
Shimenawa's Reminiscence,goblet,PyroDMG,1
Shimenawa's Reminiscence,plume,ATK,1
Shimenawa's Reminiscence,sands,ATK,1
Shimenawa's Reminiscence,sands,DEF,1
Shimenawa's Reminiscence,sands,EM,1
Shimenawa's Reminiscence,sands,ER,1
Shimenawa's Reminiscence,sands,HP,1
Silken Moon's Serenade,Circlet,CritRate,1
Silken Moon's Serenade,Circlet,EM,1
Silken Moon's Serenade,Circlet,HP,1
Silken Moon's Serenade,Feather,HP,1
Silken Moon's Serenade,Flower,ER,1
Silken Moon's Serenade,Flower,HP,1
Silken Moon's Serenade,Goblet,ATK,1
Silken Moon's Serenade,Sands,EM,1
Silken Moon's Serenade,Sands,HP,1
Silken Moon's Serenade,circlet,ATK,1
Silken Moon's Serenade,circlet,DEF,1
Silken Moon's Serenade,circlet,EM,1
Silken Moon's Serenade,circlet,HP,1
Silken Moon's Serenade,circlet,HealingBonus,1
Silken Moon's Serenade,circlet,critDMG,1
Silken Moon's Serenade,circlet,critRate,1
Silken Moon's Serenade,flower,hp,1
Silken Moon's Serenade,goblet,ATK,1
Silken Moon's Serenade,goblet,AnemoDMG,1
Silken Moon's Serenade,goblet,CryoDMG,1
Silken Moon's Serenade,goblet,DEF,1
Silken Moon's Serenade,goblet,DendroDMG,1
Silken Moon's Serenade,goblet,EM,1
Silken Moon's Serenade,goblet,ElectroDMG,1
Silken Moon's Serenade,goblet,GeoDMG,1
Silken Moon's Serenade,goblet,HP,1
Silken Moon's Serenade,goblet,HydroDMG,1
Silken Moon's Serenade,goblet,PyroDMG,1
Silken Moon's Serenade,plume,ATK,1
Silken Moon's Serenade,sands,ATK,1
Silken Moon's Serenade,sands,DEF,1
Silken Moon's Serenade,sands,EM,1
Silken Moon's Serenade,sands,ER,1
Silken Moon's Serenade,sands,HP,1
Song of Day's Past,Goblet,ATK,1
Song of Day's Past,Goblet,HP,1
Song of Day's Past,Sands,ATK,1
Song of Day's Past,Sands,HP,1
Song of Day's Past,circlet,ATK,1
Song of Day's Past,circlet,DEF,1
Song of Day's Past,circlet,EM,1
Song of Day's Past,circlet,HP,1
Song of Day's Past,circlet,HealingBonus,1
Song of Day's Past,circlet,critDMG,1
Song of Day's Past,circlet,critRate,1
Song of Day's Past,flower,hp,1
Song of Day's Past,goblet,ATK,1
Song of Day's Past,goblet,AnemoDMG,1
Song of Day's Past,goblet,CryoDMG,1
Song of Day's Past,goblet,DEF,1
Song of Day's Past,goblet,DendroDMG,1
Song of Day's Past,goblet,EM,1
Song of Day's Past,goblet,ElectroDMG,1
Song of Day's Past,goblet,GeoDMG,1
Song of Day's Past,goblet,HP,1
Song of Day's Past,goblet,HydroDMG,1
Song of Day's Past,goblet,PyroDMG,1
Song of Day's Past,plume,ATK,1
Song of Day's Past,sands,ATK,1
Song of Day's Past,sands,DEF,1
Song of Day's Past,sands,EM,1
Song of Day's Past,sands,ER,1
Song of Day's Past,sands,HP,1
Song of Days Past,Circlet,HP,1
Song of Days Past,Feather,ATK,1
Song of Days Past,Flower,HP,1
Song of Days Past,Goblet,HP,1
Song of Days Past,Sands,HP,1
Symphonist of Scent,Circlet,HealingBonus,1
Symphonist of Scent,Feather,ATK,1
Symphonist of Scent,Flower,HP,1
Symphonist of Scent,Goblet,ATK,1
Symphonist of Scent,Sands,ATK,1
Tenacity of the Milileth,Goblet,ATK,1
Tenacity of the Milileth,Sands,HP,1
Tenacity of the Milileth,circlet,ATK,1
Tenacity of the Milileth,circlet,DEF,1
Tenacity of the Milileth,circlet,EM,1
Tenacity of the Milileth,circlet,HP,1
Tenacity of the Milileth,circlet,HealingBonus,1
Tenacity of the Milileth,circlet,critDMG,1
Tenacity of the Milileth,circlet,critRate,1
Tenacity of the Milileth,flower,hp,1
Tenacity of the Milileth,goblet,ATK,1
Tenacity of the Milileth,goblet,AnemoDMG,1
Tenacity of the Milileth,goblet,CryoDMG,1
Tenacity of the Milileth,goblet,DEF,1
Tenacity of the Milileth,goblet,DendroDMG,1
Tenacity of the Milileth,goblet,EM,1
Tenacity of the Milileth,goblet,ElectroDMG,1
Tenacity of the Milileth,goblet,GeoDMG,1
Tenacity of the Milileth,goblet,HP,1
Tenacity of the Milileth,goblet,HydroDMG,1
Tenacity of the Milileth,goblet,PyroDMG,1
Tenacity of the Milileth,plume,ATK,1
Tenacity of the Milileth,sands,ATK,1
Tenacity of the Milileth,sands,DEF,1
Tenacity of the Milileth,sands,EM,1
Tenacity of the Milileth,sands,ER,1
Tenacity of the Milileth,sands,HP,1
Tenacity of the Milileth-Vourukasha's Glow,Circlet,HealingBonus,1
Tenacity of the Milileth-Vourukasha's Glow,Feather,ATK,1
Tenacity of the Milileth-Vourukasha's Glow,Flower,HP,1
Tenacity of the Milileth-Vourukasha's Glow,Goblet,HP,1
Tenacity of the Milileth-Vourukasha's Glow,Sands,ER,1
Thundering Fury,Circlet,EM,1
Thundering Fury,Flower,EHP,1
Thundering Fury,Flower,HP,1
Thundering Fury,Goblet,CritRate,1
Thundering Fury,Goblet,EM,1
Thundering Fury,Sands,EM,1
Thundering Fury,circlet,ATK,1
Thundering Fury,circlet,DEF,1
Thundering Fury,circlet,EM,1
Thundering Fury,circlet,HP,1
Thundering Fury,circlet,HealingBonus,1
Thundering Fury,circlet,critDMG,1
Thundering Fury,circlet,critRate,1
Thundering Fury,flower,hp,1
Thundering Fury,goblet,ATK,1
Thundering Fury,goblet,AnemoDMG,1
Thundering Fury,goblet,CryoDMG,1
Thundering Fury,goblet,DEF,1
Thundering Fury,goblet,DendroDMG,1
Thundering Fury,goblet,EM,1
Thundering Fury,goblet,ElectroDMG,1
Thundering Fury,goblet,GeoDMG,1
Thundering Fury,goblet,HP,1
Thundering Fury,goblet,HydroDMG,1
Thundering Fury,goblet,PyroDMG,1
Thundering Fury,plume,ATK,1
Thundering Fury,sands,ATK,1
Thundering Fury,sands,DEF,1
Thundering Fury,sands,EM,1
Thundering Fury,sands,ER,1
Thundering Fury,sands,HP,1
Thundersoother,circlet,ATK,1
Thundersoother,circlet,DEF,1
Thundersoother,circlet,EM,1
Thundersoother,circlet,HP,1
Thundersoother,circlet,HealingBonus,1
Thundersoother,circlet,critDMG,1
Thundersoother,circlet,critRate,1
Thundersoother,flower,hp,1
Thundersoother,goblet,ATK,1
Thundersoother,goblet,AnemoDMG,1
Thundersoother,goblet,CryoDMG,1
Thundersoother,goblet,DEF,1
Thundersoother,goblet,DendroDMG,1
Thundersoother,goblet,EM,1
Thundersoother,goblet,ElectroDMG,1
Thundersoother,goblet,GeoDMG,1
Thundersoother,goblet,HP,1
Thundersoother,goblet,HydroDMG,1
Thundersoother,goblet,PyroDMG,1
Thundersoother,plume,ATK,1
Thundersoother,sands,ATK,1
Thundersoother,sands,DEF,1
Thundersoother,sands,EM,1
Thundersoother,sands,ER,1
Thundersoother,sands,HP,1
Unfinished Reverie,Circlet,ATK,1
Unfinished Reverie,Flower,HP,1
Unfinished Reverie,circlet,ATK,1
Unfinished Reverie,circlet,DEF,1
Unfinished Reverie,circlet,EM,1
Unfinished Reverie,circlet,HP,1
Unfinished Reverie,circlet,HealingBonus,1
Unfinished Reverie,circlet,critDMG,1
Unfinished Reverie,circlet,critRate,1
Unfinished Reverie,flower,hp,1
Unfinished Reverie,goblet,ATK,1
Unfinished Reverie,goblet,AnemoDMG,1
